time,tavg,tmin,tmax,prcp
01-01-1990,22.9,19.1,28.4,0.0
02-01-1990,21.7,19.385130890052356,26.5,0.0
03-01-1990,21.0,16.4,26.5,0.0
04-01-1990,20.8,19.385130890052356,27.4,0.0
05-01-1990,20.4,14.2,26.1,0.0
06-01-1990,20.4,17.1,24.2,0.0
07-01-1990,18.8,19.385130890052356,20.5,0.0
08-01-1990,20.0,16.6,25.1,0.0
09-01-1990,21.0,15.5,29.932827341322678,0.0
10-01-1990,21.2,15.0,27.7,0.0
11-01-1990,21.8,16.0,28.5,0.0
12-01-1990,21.1,13.2,29.932827341322678,0.0
13-01-1990,18.8,11.2,27.2,0.0
14-01-1990,19.8,11.5,29.0,0.0
15-01-1990,21.0,11.5,30.3,0.0
16-01-1990,22.1,12.6,29.7,0.0
17-01-1990,23.8,19.385130890052356,29.0,0.0
18-01-1990,20.1,13.8,29.932827341322678,0.0
19-01-1990,21.3,12.2,30.7,0.0
20-01-1990,20.3,13.0,30.7,0.0
21-01-1990,23.8,19.385130890052356,29.932827341322678,0.0
22-01-1990,22.2,13.2,30.4,0.0
23-01-1990,20.7,14.7,29.932827341322678,0.0
24-01-1990,21.5,14.5,29.0,0.0
25-01-1990,22.7,15.4,30.7,0.0
26-01-1990,22.7,14.0,30.4,0.0
27-01-1990,21.2,14.8,29.4,0.0
28-01-1990,19.2,14.0,29.7,0.0
29-01-1990,20.9,13.9,28.5,0.0
30-01-1990,21.4,14.3,30.0,0.0
31-01-1990,22.4,14.4,29.932827341322678,0.0
01-02-1990,22.4,13.5,31.6,0.0
02-02-1990,22.4,14.5,31.9,0.0
03-02-1990,21.7,19.385130890052356,29.9,0.0
04-02-1990,22.8,19.385130890052356,30.5,0.0
05-02-1990,22.9,14.0,31.3,0.0
06-02-1990,22.3,15.9,29.7,0.0
07-02-1990,20.2,12.5,27.3,0.0
08-02-1990,22.3,16.9,28.0,0.0
09-02-1990,22.8,19.385130890052356,28.3,0.0
10-02-1990,22.6,19.385130890052356,29.932827341322678,0.0
11-02-1990,22.9,17.9,28.5,0.0
12-02-1990,23.2,17.0,29.5,0.0
13-02-1990,23.1,19.385130890052356,29.932827341322678,0.0
14-02-1990,24.8,16.8,30.6,0.0
15-02-1990,24.7,19.4,31.5,0.0
16-02-1990,25.8,20.6,31.5,0.0
17-02-1990,25.2,18.9,33.4,0.0
18-02-1990,23.9,18.8,32.6,0.0
19-02-1990,26.3,18.8,32.3,0.0
20-02-1990,24.8,18.8,31.0,0.0
21-02-1990,24.1,17.8,31.0,0.0
22-02-1990,24.3,16.4,31.9,0.0
23-02-1990,26.1,17.9,32.2,0.0
24-02-1990,25.6,18.8,31.5,0.0
25-02-1990,25.0,18.6,31.5,0.0
26-02-1990,25.2,19.0,29.932827341322678,0.0
27-02-1990,23.6,18.6,29.5,0.0
28-02-1990,27.4,20.1,29.932827341322678,0.0
01-03-1990,26.0,21.4,31.5,0.0
02-03-1990,27.1,21.0,33.6,0.0
03-03-1990,25.9,20.9,31.6,0.0
04-03-1990,27.1,19.385130890052356,31.5,0.0
05-03-1990,26.4,21.0,32.7,0.0
06-03-1990,27.6,19.385130890052356,32.7,0.0
07-03-1990,26.7,21.8,32.4,0.0
08-03-1990,26.2,21.4,33.7,0.0
09-03-1990,26.3,20.5,31.5,0.0
10-03-1990,21.6,20.1,26.7,2.3
11-03-1990,23.1,20.0,28.5,1.0
12-03-1990,25.3,20.0,31.3,0.0
13-03-1990,26.4,21.5,32.7,0.3
14-03-1990,25.8,20.5,33.5,0.0
15-03-1990,28.1,21.0,34.6,0.0
16-03-1990,25.7,19.385130890052356,32.5,0.0
17-03-1990,24.8,19.0,29.932827341322678,0.0
18-03-1990,24.3,18.4,30.9,0.0
19-03-1990,26.2,18.0,32.0,0.0
20-03-1990,25.8,19.1,32.5,0.0
21-03-1990,26.9,20.3,33.5,0.0
22-03-1990,27.5,21.5,34.8,0.0
23-03-1990,27.8,22.1,33.8,0.0
24-03-1990,27.1,19.385130890052356,29.932827341322678,0.0
25-03-1990,27.6,19.385130890052356,34.5,0.0
26-03-1990,26.9,21.0,33.9,0.0
27-03-1990,27.1,21.0,34.0,0.0
28-03-1990,28.8,19.385130890052356,34.3,0.0
29-03-1990,27.8,23.4,33.0,0.0
30-03-1990,28.7,23.3,33.9,0.0
31-03-1990,28.5,22.1,34.4,0.0
01-04-1990,27.8,23.0,29.932827341322678,0.0
02-04-1990,29.1,23.6,34.2,0.0
03-04-1990,29.1,23.6,36.2,0.0
04-04-1990,27.8,19.385130890052356,36.0,0.0
05-04-1990,26.3,22.1,34.0,0.0
06-04-1990,26.7,20.9,33.2,0.0
07-04-1990,28.4,19.385130890052356,32.6,0.0
08-04-1990,27.9,22.2,34.0,0.0
09-04-1990,27.8,22.4,34.0,0.0
10-04-1990,27.1,23.2,33.1,0.0
11-04-1990,29.4,23.6,34.4,0.0
12-04-1990,27.9,23.9,32.4,0.0
13-04-1990,29.7,24.0,35.1,0.0
14-04-1990,28.4,25.3,36.8,0.0
15-04-1990,29.7,19.385130890052356,35.5,0.0
16-04-1990,28.1,20.0,33.4,21.3
17-04-1990,26.7,21.2,32.0,8.4
18-04-1990,28.7,21.4,34.5,0.0
19-04-1990,28.2,22.6,34.4,0.0
20-04-1990,26.6,22.9,36.3,0.0
21-04-1990,28.7,22.1,36.3,0.0
22-04-1990,31.3,19.385130890052356,36.0,0.0
23-04-1990,30.7,22.4,36.6,0.0
24-04-1990,30.0,24.2,36.4,0.0
25-04-1990,29.1,22.9,34.5,0.0
26-04-1990,28.5,22.8,29.932827341322678,0.0
27-04-1990,29.9,22.2,35.1,182.1
28-04-1990,28.0,21.5,34.5,0.0
29-04-1990,28.1,19.385130890052356,34.0,0.0
30-04-1990,27.2,19.385130890052356,33.3,0.0
01-05-1990,26.7,19.385130890052356,33.3,1.5
02-05-1990,27.1,20.4,33.3,3.0
03-05-1990,26.1,22.6,32.3,0.0
04-05-1990,25.6,22.4,29.932827341322678,0.5
05-05-1990,27.4,19.385130890052356,33.3,0.0
06-05-1990,26.7,19.385130890052356,32.6,0.0
07-05-1990,24.5,19.385130890052356,31.5,0.0
08-05-1990,25.2,21.1,31.1,0.0
09-05-1990,26.9,22.6,31.0,0.0
10-05-1990,25.5,19.385130890052356,29.932827341322678,0.0
11-05-1990,26.8,19.385130890052356,32.1,0.0
12-05-1990,27.1,23.0,30.7,1.0
13-05-1990,26.8,23.0,31.4,0.0
14-05-1990,26.9,22.5,33.7,0.0
15-05-1990,27.9,22.0,34.1,0.0
16-05-1990,27.6,20.9,34.6,0.0
17-05-1990,26.2,20.8,33.7,0.0
18-05-1990,26.2,20.8,31.6,21.8
19-05-1990,26.4,21.4,32.5,0.0
20-05-1990,23.9,21.3,29.2,1.3
21-05-1990,24.8,21.4,28.0,2.3
22-05-1990,23.1,21.2,29.7,0.0
23-05-1990,24.2,21.6,31.5,2.0
24-05-1990,20.9,19.385130890052356,29.932827341322678,13.7
25-05-1990,23.4,19.4,29.2,85.1
26-05-1990,23.840426251691472,19.385130890052356,29.932827341322678,0.0
27-05-1990,23.840426251691472,19.385130890052356,29.932827341322678,0.0
28-05-1990,23.840426251691472,19.385130890052356,29.932827341322678,0.0
29-05-1990,23.840426251691472,19.385130890052356,29.932827341322678,0.0
30-05-1990,23.840426251691472,19.385130890052356,29.932827341322678,0.0
31-05-1990,25.1,19.385130890052356,29.932827341322678,0.0
01-06-1990,25.5,20.0,32.0,0.0
02-06-1990,24.7,20.4,31.8,0.0
03-06-1990,22.9,19.8,28.6,15.0
04-06-1990,23.4,19.385130890052356,27.3,0.0
05-06-1990,23.9,19.6,29.0,0.0
06-06-1990,24.6,19.385130890052356,30.3,0.0
07-06-1990,23.4,19.385130890052356,30.3,0.0
08-06-1990,23.5,19.385130890052356,30.3,0.0
09-06-1990,23.2,19.385130890052356,29.3,0.0
10-06-1990,24.6,19.385130890052356,29.3,5.8
11-06-1990,23.3,19.385130890052356,26.1,5.1
12-06-1990,22.8,19.9,26.3,0.0
13-06-1990,23.8,20.1,28.2,1.5
14-06-1990,24.2,20.6,29.9,0.0
15-06-1990,23.5,20.8,29.932827341322678,0.0
16-06-1990,23.6,20.2,28.8,0.0
17-06-1990,23.1,19.385130890052356,26.8,0.0
18-06-1990,23.7,19.6,29.1,0.0
19-06-1990,24.3,19.385130890052356,29.0,0.0
20-06-1990,23.7,20.8,29.1,0.0
21-06-1990,23.6,20.2,29.932827341322678,0.0
22-06-1990,24.1,19.385130890052356,29.5,0.0
23-06-1990,24.5,19.9,30.0,0.0
24-06-1990,23.6,19.6,29.932827341322678,0.0
25-06-1990,23.5,19.6,27.8,0.0
26-06-1990,23.2,19.8,26.5,0.0
27-06-1990,22.6,20.2,27.8,0.0
28-06-1990,23.4,19.385130890052356,28.3,6.1
29-06-1990,23.1,19.8,26.8,5.6
30-06-1990,23.4,20.0,28.6,1.0
01-07-1990,22.7,19.6,28.3,0.0
02-07-1990,22.3,19.5,26.9,8.4
03-07-1990,22.2,19.4,27.0,1.0
04-07-1990,22.3,19.7,29.1,0.0
05-07-1990,24.0,19.2,30.0,0.0
06-07-1990,23.8,20.1,29.5,0.0
07-07-1990,22.9,20.2,28.0,0.0
08-07-1990,21.5,19.6,23.5,0.5
