time,tavg,tmin,tmax,prcp
01-01-1990,25.2,22.8,28.4,0.5
02-01-1990,24.9,21.7,29.1,0.0
03-01-1990,25.6,21.4,29.8,0.0
04-01-1990,25.7,24.382769580022703,28.7,0.0
05-01-1990,25.5,20.7,28.4,0.0
06-01-1990,24.7,24.382769580022703,26.1,0.5
07-01-1990,25.4,23.3,27.0,18.0
08-01-1990,25.6,22.0,28.0,0.5
09-01-1990,24.8,21.7,28.5,0.0
10-01-1990,24.7,20.7,29.0,0.0
11-01-1990,24.5,20.0,28.8,0.0
12-01-1990,23.8,18.0,29.4,0.0
13-01-1990,23.1,17.1,31.3,0.0
14-01-1990,23.9,17.5,31.8,0.0
15-01-1990,23.3,17.4,30.5,0.0
16-01-1990,23.3,18.0,29.8,0.0
17-01-1990,23.4,24.382769580022703,28.9,0.0
18-01-1990,22.6,18.2,30.2,0.0
19-01-1990,23.0,17.2,30.4,0.0
20-01-1990,23.1,16.9,33.3,0.0
21-01-1990,24.2,17.0,32.9,0.0
22-01-1990,23.1,18.4,30.7,0.0
23-01-1990,24.2,20.4,29.6,0.0
24-01-1990,24.3,19.5,29.5,0.0
25-01-1990,24.8,20.1,30.9,0.0
26-01-1990,24.5,19.9,29.7,0.0
27-01-1990,24.1,19.9,29.6,0.0
28-01-1990,24.1,19.1,29.4,0.0
29-01-1990,23.9,20.2,33.90828505747126,0.0
30-01-1990,23.5,20.1,30.1,0.0
31-01-1990,23.7,24.382769580022703,29.8,0.0
01-02-1990,23.8,18.6,30.0,0.0
02-02-1990,24.6,19.1,29.6,0.0
03-02-1990,23.9,19.4,30.1,0.0
04-02-1990,24.3,24.382769580022703,33.90828505747126,31.0
05-02-1990,25.3,18.9,33.90828505747126,0.0
06-02-1990,24.3,19.8,30.0,0.0
07-02-1990,24.9,20.8,29.9,0.0
08-02-1990,25.8,22.0,30.3,0.0
09-02-1990,26.1,21.8,30.7,0.0
10-02-1990,26.8,22.4,30.9,0.0
11-02-1990,26.6,22.9,31.0,0.0
12-02-1990,26.7,22.8,31.3,0.0
13-02-1990,26.3,24.382769580022703,33.90828505747126,0.0
14-02-1990,26.3,22.4,31.4,0.0
15-02-1990,27.9,24.382769580022703,33.90828505747126,0.0
16-02-1990,27.0,24.3,30.4,0.0
17-02-1990,27.4,24.5,32.4,0.0
18-02-1990,27.7,24.8,33.90828505747126,0.0
19-02-1990,28.0,25.2,32.6,0.0
20-02-1990,27.5,23.4,33.0,5.3
21-02-1990,28.2,24.8,36.0,0.0
22-02-1990,28.4,23.8,34.1,0.0
23-02-1990,28.3,24.7,32.6,0.0
24-02-1990,28.6,25.4,33.7,0.0
25-02-1990,28.6,25.0,34.3,0.0
26-02-1990,29.1,25.3,36.0,0.0
27-02-1990,29.4,24.7,33.8,0.0
28-02-1990,29.4,24.9,34.4,0.0
01-03-1990,28.1,24.1,33.5,0.0
02-03-1990,27.9,23.8,32.9,0.0
03-03-1990,29.9,24.7,35.8,0.0
04-03-1990,28.7,24.382769580022703,33.3,0.0
05-03-1990,29.0,25.9,35.4,0.0
06-03-1990,28.3,24.382769580022703,32.0,0.0
07-03-1990,29.1,25.9,35.1,0.0
08-03-1990,28.6,26.0,35.0,0.0
09-03-1990,27.6,25.2,32.4,0.0
10-03-1990,27.2,24.4,29.8,0.0
11-03-1990,26.3,23.5,30.7,0.0
12-03-1990,27.7,24.4,32.1,0.0
13-03-1990,28.8,24.5,34.4,0.0
14-03-1990,29.3,26.0,35.1,0.0
15-03-1990,29.3,25.7,34.7,0.0
16-03-1990,28.3,24.382769580022703,33.90828505747126,0.0
17-03-1990,28.3,23.9,32.4,0.0
18-03-1990,27.6,23.8,32.2,0.0
19-03-1990,28.1,22.9,32.4,0.0
20-03-1990,28.6,24.382769580022703,33.2,0.0
21-03-1990,28.2,24.7,33.7,0.0
22-03-1990,28.4,24.3,34.0,0.0
23-03-1990,29.2,24.4,36.2,0.0
24-03-1990,30.3,21.2,36.6,0.0
25-03-1990,30.6,24.382769580022703,33.90828505747126,0.0
26-03-1990,29.8,24.382769580022703,37.4,0.0
27-03-1990,28.4,24.382769580022703,34.4,7.1
28-03-1990,29.9,26.2,35.1,0.0
29-03-1990,29.4,26.8,34.0,0.0
30-03-1990,28.9,25.5,33.3,0.0
31-03-1990,28.7,25.2,33.1,0.0
01-04-1990,28.9,24.8,34.0,0.0
02-04-1990,28.1,24.8,35.3,0.0
03-04-1990,29.3,26.6,33.90828505747126,0.0
04-04-1990,29.8,26.2,35.0,0.0
05-04-1990,30.1,24.382769580022703,35.5,0.0
06-04-1990,30.6,26.0,33.90828505747126,0.0
07-04-1990,29.8,26.0,33.3,0.0
08-04-1990,29.6,25.6,34.4,0.0
09-04-1990,29.8,26.3,33.90828505747126,0.0
10-04-1990,30.8,26.8,37.1,0.0
11-04-1990,31.4,26.6,36.9,0.0
12-04-1990,29.8,27.0,34.4,0.0
13-04-1990,30.5,26.2,35.7,0.0
14-04-1990,29.8,25.9,35.8,0.0
15-04-1990,30.6,26.1,34.4,0.0
16-04-1990,30.3,26.0,35.5,0.0
17-04-1990,30.2,26.6,34.6,0.0
18-04-1990,30.8,26.7,35.4,0.0
19-04-1990,32.3,26.5,39.6,0.0
20-04-1990,31.4,24.382769580022703,40.9,0.0
21-04-1990,32.8,28.4,40.7,0.0
22-04-1990,31.6,24.382769580022703,40.4,0.0
23-04-1990,31.4,26.8,39.4,0.0
24-04-1990,30.7,26.3,36.7,0.0
25-04-1990,29.8,26.5,38.3,0.0
26-04-1990,29.4,26.3,35.5,0.0
27-04-1990,29.9,26.5,35.4,0.0
28-04-1990,30.5,26.6,36.0,0.0
29-04-1990,31.0,26.9,35.9,0.0
30-04-1990,30.5,24.382769580022703,34.5,0.0
01-05-1990,30.3,27.3,34.6,0.0
02-05-1990,29.8,26.6,34.7,0.0
03-05-1990,30.3,25.7,33.90828505747126,0.0
04-05-1990,30.9,27.0,35.3,0.0
05-05-1990,30.6,26.5,34.5,0.0
06-05-1990,28.7,24.382769580022703,33.9,0.0
07-05-1990,25.8,24.382769580022703,29.3,31.2
08-05-1990,24.8,24.382769580022703,33.90828505747126,126.5
09-05-1990,29.8,23.6,33.1,6.4
10-05-1990,28.2,24.382769580022703,34.8,3.0
11-05-1990,28.7,24.382769580022703,31.3,0.0
12-05-1990,27.3,26.0,29.5,4.8
13-05-1990,29.8,25.4,34.3,3.8
14-05-1990,30.1,24.382769580022703,36.6,0.0
15-05-1990,31.6,27.1,38.6,0.0
16-05-1990,31.5,27.2,33.90828505747126,0.0
17-05-1990,31.7,27.1,39.0,0.0
18-05-1990,30.9,27.6,38.0,0.0
19-05-1990,31.5,24.382769580022703,38.4,0.0
20-05-1990,30.2,27.2,36.7,0.0
21-05-1990,31.0,24.382769580022703,36.4,0.0
22-05-1990,30.8,26.0,37.1,2.0
23-05-1990,30.5,24.382769580022703,35.9,0.0
24-05-1990,28.7,24.9,33.90828505747126,0.5
25-05-1990,30.3,26.4,35.5,0.0
26-05-1990,28.490798011291815,24.382769580022703,33.90828505747126,0.0
27-05-1990,28.490798011291815,24.382769580022703,33.90828505747126,0.0
28-05-1990,28.490798011291815,24.382769580022703,33.90828505747126,0.0
29-05-1990,28.490798011291815,24.382769580022703,33.90828505747126,0.0
30-05-1990,28.490798011291815,24.382769580022703,33.90828505747126,0.0
31-05-1990,32.2,28.0,37.2,0.0
01-06-1990,31.6,28.8,38.2,0.0
02-06-1990,31.1,27.8,33.90828505747126,0.0
03-06-1990,30.8,24.382769580022703,37.9,0.0
04-06-1990,31.0,25.4,37.3,0.0
05-06-1990,30.6,27.0,37.8,0.3
06-06-1990,32.2,24.382769580022703,38.0,0.0
07-06-1990,29.3,24.382769580022703,38.2,0.0
08-06-1990,30.2,24.382769580022703,34.3,0.0
09-06-1990,30.3,24.382769580022703,35.9,0.0
10-06-1990,30.3,25.1,35.8,0.3
11-06-1990,30.7,28.0,33.90828505747126,0.0
12-06-1990,29.8,25.4,34.7,0.8
13-06-1990,29.3,26.6,34.3,0.0
14-06-1990,30.9,26.8,36.9,0.0
15-06-1990,30.0,26.6,33.90828505747126,0.3
16-06-1990,31.1,24.382769580022703,36.9,0.0
17-06-1990,31.9,28.0,35.5,0.0
18-06-1990,32.2,27.6,33.90828505747126,0.0
19-06-1990,30.6,24.382769580022703,36.3,0.0
20-06-1990,29.8,24.382769580022703,35.9,0.0
21-06-1990,31.1,26.4,38.2,0.0
22-06-1990,31.3,24.382769580022703,37.3,0.0
