time,tavg,tmin,tmax,prcp
01-01-1990,7.2,18.795858694354934,18.1,0.0
02-01-1990,10.5,18.795858694354934,17.2,0.0
03-01-1990,10.2,1.8,18.6,0.0
04-01-1990,9.1,18.795858694354934,19.3,0.0
05-01-1990,13.5,18.795858694354934,23.8,0.0
06-01-1990,11.5,5.9,21.4,0.0
07-01-1990,14.2,5.4,23.6,0.0
08-01-1990,17.1,18.795858694354934,24.6,0.0
09-01-1990,11.1,18.795858694354934,24.6,0.0
10-01-1990,14.8,4.1,23.6,0.0
11-01-1990,12.9,5.1,23.6,0.0
12-01-1990,12.5,7.3,21.1,0.0
13-01-1990,15.3,18.795858694354934,32.493404893143804,0.0
14-01-1990,17.3,6.9,28.2,0.0
15-01-1990,16.5,9.0,24.9,0.0
16-01-1990,15.8,18.795858694354934,24.9,0.0
17-01-1990,17.6,18.795858694354934,26.9,0.0
18-01-1990,19.9,13.0,29.5,0.0
19-01-1990,20.5,13.0,29.5,0.0
20-01-1990,17.5,10.7,28.7,0.0
21-01-1990,18.6,18.795858694354934,26.4,0.0
22-01-1990,20.0,10.8,28.3,0.0
23-01-1990,18.8,13.2,28.9,0.0
24-01-1990,18.4,18.795858694354934,28.9,0.0
25-01-1990,18.9,18.795858694354934,26.2,0.0
26-01-1990,18.9,18.795858694354934,27.9,0.0
27-01-1990,18.9,9.8,29.9,0.0
28-01-1990,20.7,18.795858694354934,28.8,0.0
29-01-1990,21.4,18.795858694354934,28.8,0.0
30-01-1990,15.6,18.795858694354934,26.2,0.0
31-01-1990,17.1,10.0,26.2,0.0
01-02-1990,17.5,18.795858694354934,27.7,0.0
02-02-1990,15.2,18.795858694354934,27.7,0.0
03-02-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
04-02-1990,17.4,18.795858694354934,24.6,0.0
05-02-1990,16.2,9.2,32.493404893143804,23.9
06-02-1990,15.2,18.795858694354934,32.493404893143804,0.0
07-02-1990,20.7,10.1,25.9,0.0
08-02-1990,20.7,12.9,26.1,0.0
09-02-1990,20.3,18.795858694354934,27.8,0.0
10-02-1990,19.9,18.795858694354934,27.8,0.0
11-02-1990,20.7,13.0,29.0,0.0
12-02-1990,20.0,12.8,27.9,0.0
13-02-1990,17.0,18.795858694354934,19.7,0.0
14-02-1990,18.0,18.795858694354934,23.4,0.0
15-02-1990,16.8,10.5,24.1,0.0
16-02-1990,16.6,10.1,23.8,0.0
17-02-1990,17.5,8.3,25.3,0.0
18-02-1990,16.0,13.2,25.3,12.7
19-02-1990,17.1,12.1,23.7,0.0
20-02-1990,17.3,11.5,32.493404893143804,0.0
21-02-1990,17.5,10.4,24.9,0.0
22-02-1990,17.6,18.795858694354934,25.3,0.0
23-02-1990,17.5,9.5,26.6,0.0
24-02-1990,16.5,18.795858694354934,26.6,0.0
25-02-1990,17.8,12.5,23.3,7.1
26-02-1990,19.5,18.795858694354934,25.7,2.3
27-02-1990,17.4,14.9,32.493404893143804,0.0
28-02-1990,18.3,14.3,25.8,7.4
01-03-1990,17.5,18.795858694354934,25.8,0.0
02-03-1990,15.5,18.795858694354934,24.9,0.0
03-03-1990,16.8,18.795858694354934,23.7,0.0
04-03-1990,17.0,8.3,25.8,0.0
05-03-1990,18.8,18.795858694354934,25.9,0.0
06-03-1990,18.2,18.795858694354934,27.0,0.0
07-03-1990,18.6,11.3,27.4,0.0
08-03-1990,20.2,10.3,29.0,0.0
09-03-1990,22.7,11.1,30.1,0.0
10-03-1990,21.0,18.795858694354934,31.1,0.0
11-03-1990,23.7,18.795858694354934,30.4,0.0
12-03-1990,21.8,14.6,30.4,0.0
13-03-1990,22.3,12.9,30.3,0.0
14-03-1990,22.5,18.795858694354934,30.3,0.0
15-03-1990,22.8,15.1,31.0,0.0
16-03-1990,25.2,15.2,32.0,0.0
17-03-1990,25.3,16.5,33.1,0.0
18-03-1990,26.4,18.795858694354934,34.1,0.0
19-03-1990,26.0,17.4,36.2,0.0
20-03-1990,26.3,17.8,36.2,0.0
21-03-1990,25.8,17.5,36.1,0.0
22-03-1990,26.4,18.9,35.6,0.0
23-03-1990,24.7,18.795858694354934,35.4,0.8
24-03-1990,20.7,18.795858694354934,29.2,0.0
25-03-1990,21.2,10.2,30.7,0.0
26-03-1990,21.9,18.795858694354934,30.6,0.0
27-03-1990,23.3,16.2,29.9,0.0
28-03-1990,23.6,17.1,30.2,0.0
29-03-1990,23.5,16.6,31.8,0.0
30-03-1990,26.5,16.5,34.9,0.0
31-03-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
01-04-1990,24.9,18.795858694354934,32.1,0.0
02-04-1990,24.5,18.795858694354934,30.9,0.0
03-04-1990,23.5,12.9,32.493404893143804,0.0
04-04-1990,24.3,13.7,32.493404893143804,0.0
05-04-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
06-04-1990,26.2,18.795858694354934,33.9,0.0
07-04-1990,28.0,18.795858694354934,34.9,0.0
08-04-1990,28.7,18.795858694354934,36.6,0.0
09-04-1990,25.3,20.3,36.6,0.0
10-04-1990,29.7,18.1,36.9,0.0
11-04-1990,33.3,18.795858694354934,40.0,0.0
12-04-1990,27.8,18.795858694354934,40.0,0.0
13-04-1990,30.2,18.795858694354934,38.9,0.0
14-04-1990,27.8,18.795858694354934,38.9,0.0
15-04-1990,29.2,18.795858694354934,37.4,0.0
16-04-1990,29.4,20.2,32.493404893143804,0.0
17-04-1990,32.5,18.795858694354934,41.1,0.0
18-04-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
19-04-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
20-04-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
21-04-1990,32.1,18.795858694354934,41.3,0.0
22-04-1990,25.221240217761146,18.795858694354934,32.493404893143804,0.0
23-04-1990,30.0,18.795858694354934,42.1,0.0
24-04-1990,34.3,22.7,41.7,0.0
25-04-1990,29.7,22.4,42.3,0.0
26-04-1990,33.4,18.795858694354934,42.3,0.0
27-04-1990,28.9,18.795858694354934,41.8,0.0
28-04-1990,29.9,18.795858694354934,36.4,0.0
29-04-1990,32.7,21.1,40.0,0.0
30-04-1990,28.7,18.795858694354934,40.0,0.0
01-05-1990,28.3,20.7,37.2,0.0
02-05-1990,28.3,18.795858694354934,37.0,0.0
03-05-1990,31.2,18.795858694354934,38.8,0.0
04-05-1990,27.8,18.795858694354934,38.8,0.0
05-05-1990,28.3,18.795858694354934,35.3,0.0
06-05-1990,25.3,18.795858694354934,36.5,0.0
07-05-1990,28.4,18.795858694354934,36.5,0.0
08-05-1990,31.7,18.795858694354934,37.7,0.0
09-05-1990,30.8,18.795858694354934,39.4,0.0
10-05-1990,33.9,26.7,39.4,0.0
11-05-1990,29.4,18.795858694354934,39.4,0.0
12-05-1990,30.7,18.795858694354934,40.0,0.0
13-05-1990,31.9,18.795858694354934,37.7,0.0
14-05-1990,31.5,18.795858694354934,32.493404893143804,0.0
15-05-1990,34.2,18.795858694354934,40.1,0.0
16-05-1990,34.5,18.795858694354934,41.0,0.0
17-05-1990,30.7,18.795858694354934,41.0,0.0
18-05-1990,30.5,18.795858694354934,40.5,5.6
19-05-1990,33.0,18.795858694354934,38.7,0.0
20-05-1990,31.2,18.795858694354934,40.2,0.0
21-05-1990,34.7,25.7,40.2,0.5
22-05-1990,31.0,27.1,40.4,0.0
23-05-1990,33.0,25.9,40.7,0.0
